avg_kg
0.018833
0.018896
0.019064
0.019092
0.019155
0.019206
0.015017
0.019956
0.020054
0.019981
0.033853
0.037116
0.034113
0.020000
0.020949
0.020406
0.020725
0.020941
0.020150
0.020077
0.020926
0.923204
0.364462
0.022288
0.022267
0.022445
0.021896
0.022220
0.021677
0.044084
